seed,gate,status,false_alarm,seconds
0,precomputed_input,PASS,0,0.001947
0,temporal_window,PASS,0,0.00829
0,target_transforms,PASS,0,0.001827
0,operator_trace,PASS,0,0.010219
0,value_range,PASS,0,0.003253
0,channel_content,PASS,0,0.003424
1,precomputed_input,PASS,0,0.001843
1,temporal_window,PASS,0,0.008236
1,target_transforms,PASS,0,0.001818
1,operator_trace,PASS,0,0.010238
1,value_range,PASS,0,0.00327
1,channel_content,PASS,0,0.003425
2,precomputed_input,PASS,0,0.001837
2,temporal_window,PASS,0,0.008698
2,target_transforms,PASS,0,0.001814
2,operator_trace,PASS,0,0.010215
2,value_range,PASS,0,0.003248
2,channel_content,PASS,0,0.003396
3,precomputed_input,PASS,0,0.001837
3,temporal_window,PASS,0,0.00818
3,target_transforms,PASS,0,0.001807
3,operator_trace,PASS,0,0.010202
3,value_range,PASS,0,0.003272
3,channel_content,PASS,0,0.003398
4,precomputed_input,PASS,0,0.001839
4,temporal_window,PASS,0,0.008201
4,target_transforms,PASS,0,0.001805
4,operator_trace,PASS,0,0.010221
4,value_range,PASS,0,0.003248
4,channel_content,PASS,0,0.003501
5,precomputed_input,PASS,0,0.001822
5,temporal_window,PASS,0,0.008208
5,target_transforms,PASS,0,0.0018
5,operator_trace,PASS,0,0.010189
5,value_range,PASS,0,0.003241
5,channel_content,PASS,0,0.003393
6,precomputed_input,PASS,0,0.001842
6,temporal_window,PASS,0,0.008209
6,target_transforms,PASS,0,0.001819
6,operator_trace,PASS,0,0.01026
6,value_range,PASS,0,0.003325
6,channel_content,PASS,0,0.003385
7,precomputed_input,PASS,0,0.001846
7,temporal_window,PASS,0,0.008192
7,target_transforms,PASS,0,0.001815
7,operator_trace,PASS,0,0.010192
7,value_range,PASS,0,0.003275
7,channel_content,PASS,0,0.003418
8,precomputed_input,PASS,0,0.001836
8,temporal_window,PASS,0,0.008224
8,target_transforms,PASS,0,0.001809
8,operator_trace,PASS,0,0.010221
8,value_range,PASS,0,0.003285
8,channel_content,PASS,0,0.003437
9,precomputed_input,PASS,0,0.001877
9,temporal_window,PASS,0,0.008215
9,target_transforms,PASS,0,0.001837
9,operator_trace,PASS,0,0.010206
9,value_range,PASS,0,0.003252
9,channel_content,PASS,0,0.003389
10,precomputed_input,PASS,0,0.001836
10,temporal_window,PASS,0,0.008242
10,target_transforms,PASS,0,0.001836
10,operator_trace,PASS,0,0.01022
10,value_range,PASS,0,0.003253
10,channel_content,PASS,0,0.003435
11,precomputed_input,PASS,0,0.001834
11,temporal_window,PASS,0,0.008315
11,target_transforms,PASS,0,0.001829
11,operator_trace,PASS,0,0.010251
11,value_range,PASS,0,0.00334
11,channel_content,PASS,0,0.003416
12,precomputed_input,PASS,0,0.001841
12,temporal_window,PASS,0,0.008185
12,target_transforms,PASS,0,0.001808
12,operator_trace,PASS,0,0.01021
12,value_range,PASS,0,0.003252
12,channel_content,PASS,0,0.003372
13,precomputed_input,PASS,0,0.001846
13,temporal_window,PASS,0,0.008197
13,target_transforms,PASS,0,0.00181
13,operator_trace,PASS,0,0.010187
13,value_range,PASS,0,0.003256
13,channel_content,PASS,0,0.003397
14,precomputed_input,PASS,0,0.001839
14,temporal_window,PASS,0,0.008234
14,target_transforms,PASS,0,0.001813
14,operator_trace,PASS,0,0.010226
14,value_range,PASS,0,0.003281
14,channel_content,PASS,0,0.003438
15,precomputed_input,PASS,0,0.001833
15,temporal_window,PASS,0,0.008221
15,target_transforms,PASS,0,0.001816
15,operator_trace,PASS,0,0.010233
15,value_range,PASS,0,0.003248
15,channel_content,PASS,0,0.003405
16,precomputed_input,PASS,0,0.001848
16,temporal_window,PASS,0,0.008252
16,target_transforms,PASS,0,0.00183
16,operator_trace,PASS,0,0.010216
16,value_range,PASS,0,0.003298
16,channel_content,PASS,0,0.003401
17,precomputed_input,PASS,0,0.00183
17,temporal_window,PASS,0,0.008239
17,target_transforms,PASS,0,0.001809
17,operator_trace,PASS,0,0.010234
17,value_range,PASS,0,0.003256
17,channel_content,PASS,0,0.003507
18,precomputed_input,PASS,0,0.001836
18,temporal_window,PASS,0,0.008242
18,target_transforms,PASS,0,0.001909
18,operator_trace,PASS,0,0.010217
18,value_range,PASS,0,0.003259
18,channel_content,PASS,0,0.003432
19,precomputed_input,PASS,0,0.001852
19,temporal_window,PASS,0,0.008229
19,target_transforms,PASS,0,0.001812
19,operator_trace,PASS,0,0.010239
19,value_range,PASS,0,0.003271
19,channel_content,PASS,0,0.003428
