subject,gate,status,message
kair_video,precomputed_input,PASS,loader returns the pre-computed input at the training-step-input boundary
kair_video,temporal_window,PASS,"8 distinct windows; 12/32 frames (37.5% of the clip) reached in 8 probes at seed 0 --- a reproducible lower bound on coverage, not the reachable set"
kair_video,target_transforms,PASS,"sharpen applied 0x per frame, as declared"
kair_video,operator_trace,SKIP,no operator calls observed
kair_blindsr,precomputed_input,FAIL,"the loader did not deliver the pre-computed input: the delivered tensor is not the checkerboard (bimodality 0.000, expected >=0.80). The configured flag does not reach the delivered tensor."
kair_blindsr,temporal_window,N/A,the arm declares a window of 1 frame(s): there is no temporal sampling for this gate to assert over
kair_blindsr,target_transforms,PASS,"sharpen applied 0x per frame, as declared"
kair_blindsr,operator_trace,PASS,7 distinct orders over 12 draws
uformer,precomputed_input,PASS,loader returns the pre-computed input at the training-step-input boundary
uformer,temporal_window,N/A,the arm declares a window of 1 frame(s): there is no temporal sampling for this gate to assert over
uformer,target_transforms,PASS,"sharpen applied 0x per frame, as declared"
uformer,operator_trace,SKIP,no operator calls observed
mprnet,precomputed_input,PASS,loader returns the pre-computed input at the training-step-input boundary
mprnet,temporal_window,N/A,the arm declares a window of 1 frame(s): there is no temporal sampling for this gate to assert over
mprnet,target_transforms,PASS,"sharpen applied 0x per frame, as declared"
mprnet,operator_trace,SKIP,no operator calls observed
zerodce,precomputed_input,PASS,loader returns the pre-computed input at the training-step-input boundary
zerodce,temporal_window,N/A,the arm declares a window of 1 frame(s): there is no temporal sampling for this gate to assert over
zerodce,target_transforms,PASS,"sharpen applied 0x per frame, as declared"
zerodce,operator_trace,SKIP,no operator calls observed
mmagic,precomputed_input,PASS,loader returns the pre-computed input at the training-step-input boundary
mmagic,temporal_window,PASS,"7 distinct windows; 30/32 frames (93.8% of the clip) reached in 8 probes at seed 0 --- a reproducible lower bound on coverage, not the reachable set"
mmagic,target_transforms,PASS,"sharpen applied 0x per frame, as declared"
mmagic,operator_trace,SKIP,no operator calls observed
basicsr_reds,precomputed_input,UNDECL,the loader requires source clips of at least 100 frames and nothing declared it: it failed on a 16-frame clip with FileNotFoundError and ran on a 100-frame one. At that length the gate reports PASS.
basicsr_reds,temporal_window,UNDECL,the loader requires source clips of at least 100 frames and nothing declared it: it failed on a 32-frame clip with FileNotFoundError and ran on a 100-frame one. At that length the gate reports PASS.
basicsr_reds,target_transforms,UNDECL,the loader requires source clips of at least 100 frames and nothing declared it: it failed on a 8-frame clip with FileNotFoundError and ran on a 100-frame one. At that length the gate reports PASS.
basicsr_reds,operator_trace,UNDECL,the loader requires source clips of at least 100 frames and nothing declared it: it failed on a 8-frame clip with FileNotFoundError and ran on a 100-frame one. At that length the gate reports SKIP.
