defect,defect_description,targeted_gate,gate,status,is_target,detected,seconds,message
none,conforming reference loader (negative control),,precomputed_input,PASS,0,0,0.579479,loader returns the pre-computed input at the loader-output boundary
none,conforming reference loader (negative control),,temporal_window,PASS,0,0,0.008715,"8 distinct windows; 27/32 frames (84.4% of the clip) reached in 8 probes at seed 0 --- a reproducible lower bound on coverage, not the reachable set"
none,conforming reference loader (negative control),,target_transforms,PASS,0,0,0.001966,"sharpen applied 1x per frame, as declared"
none,conforming reference loader (negative control),,operator_trace,PASS,0,0,0.010494,9 distinct orders over 12 draws
none,conforming reference loader (negative control),,value_range,PASS,0,0,0.003298,2 delivered stream(s) satisfy the declared finite range and fixture anchors
none,conforming reference loader (negative control),,channel_content,PASS,0,0,0.003437,2 delivered stream(s) retain the declared channel content
ignore_precomputed,configuration flag is set and the loader does not read it,precomputed_input,precomputed_input,FAIL,1,1,0.002323,"the loader did not deliver the pre-computed input: the delivered tensor is not the checkerboard (bimodality 0.000, expected >=0.80). The configured flag does not reach the delivered tensor."
ignore_precomputed,configuration flag is set and the loader does not read it,precomputed_input,temporal_window,PASS,0,0,0.012165,"6 distinct windows; 19/32 frames (59.4% of the clip) reached in 8 probes at seed 0 --- a reproducible lower bound on coverage, not the reachable set"
ignore_precomputed,configuration flag is set and the loader does not read it,precomputed_input,target_transforms,PASS,0,0,0.001847,"sharpen applied 1x per frame, as declared"
ignore_precomputed,configuration flag is set and the loader does not read it,precomputed_input,operator_trace,PASS,0,0,0.010239,9 distinct orders over 12 draws
ignore_precomputed,configuration flag is set and the loader does not read it,precomputed_input,value_range,PASS,0,0,0.003681,2 delivered stream(s) satisfy the declared finite range and fixture anchors
ignore_precomputed,configuration flag is set and the loader does not read it,precomputed_input,channel_content,PASS,0,0,0.003849,2 delivered stream(s) retain the declared channel content
prefix_window,sampling index is computed and then discarded; a fixed prefix is opened,temporal_window,precomputed_input,PASS,0,0,0.001844,loader returns the pre-computed input at the loader-output boundary
prefix_window,sampling index is computed and then discarded; a fixed prefix is opened,temporal_window,temporal_window,FAIL,1,1,0.00806,"every one of the 8 entries returned the clip prefix [0, 1, 2, 3, 4]; the computed window does not reach the file system. Only 5/32 frames (15.6%) of the clip are reachable."
prefix_window,sampling index is computed and then discarded; a fixed prefix is opened,temporal_window,target_transforms,PASS,0,0,0.001811,"sharpen applied 1x per frame, as declared"
prefix_window,sampling index is computed and then discarded; a fixed prefix is opened,temporal_window,operator_trace,PASS,0,0,0.010112,10 distinct orders over 12 draws
prefix_window,sampling index is computed and then discarded; a fixed prefix is opened,temporal_window,value_range,PASS,0,0,0.003256,2 delivered stream(s) satisfy the declared finite range and fixture anchors
prefix_window,sampling index is computed and then discarded; a fixed prefix is opened,temporal_window,channel_content,PASS,0,0,0.003379,2 delivered stream(s) retain the declared channel content
frozen_window,window is sampled once and reused for every subsequent item,temporal_window,precomputed_input,PASS,0,0,0.001824,loader returns the pre-computed input at the loader-output boundary
frozen_window,window is sampled once and reused for every subsequent item,temporal_window,temporal_window,FAIL,1,1,0.008073,"all 8 entries returned the same window [22, 23, 24, 25, 26]; the sampler is inert."
frozen_window,window is sampled once and reused for every subsequent item,temporal_window,target_transforms,PASS,0,0,0.001834,"sharpen applied 1x per frame, as declared"
frozen_window,window is sampled once and reused for every subsequent item,temporal_window,operator_trace,PASS,0,0,0.010161,10 distinct orders over 12 draws
frozen_window,window is sampled once and reused for every subsequent item,temporal_window,value_range,PASS,0,0,0.003385,2 delivered stream(s) satisfy the declared finite range and fixture anchors
frozen_window,window is sampled once and reused for every subsequent item,temporal_window,channel_content,PASS,0,0,0.003451,2 delivered stream(s) retain the declared channel content
double_sharpen,the target is transformed twice where one transformation is declared,target_transforms,precomputed_input,PASS,0,0,0.001838,loader returns the pre-computed input at the loader-output boundary
