defect,defect_description,targeted_gate,gate,status,is_target,detected,seconds,message
none,conforming reference loader (negative control),,precomputed_input,PASS,0,0,0.647417,loader returns the pre-computed input at the training-step-input boundary
none,conforming reference loader (negative control),,temporal_window,PASS,0,0,0.005973,"8 distinct windows; 27/32 frames (84.4% of the clip) reached in 8 probes at seed 0 --- a reproducible lower bound on coverage, not the reachable set"
none,conforming reference loader (negative control),,target_transforms,PASS,0,0,0.047414,"sharpen applied 1x per frame, as declared"
none,conforming reference loader (negative control),,operator_trace,PASS,0,0,0.011511,9 distinct orders over 12 draws
ignore_precomputed,configuration flag is set and the loader does not read it,precomputed_input,precomputed_input,FAIL,1,1,0.002461,"the loader did not deliver the pre-computed input: the delivered tensor is not the checkerboard (bimodality 0.000, expected >=0.80). The configured flag does not reach the delivered tensor."
ignore_precomputed,configuration flag is set and the loader does not read it,precomputed_input,temporal_window,PASS,0,0,0.009679,"6 distinct windows; 19/32 frames (59.4% of the clip) reached in 8 probes at seed 0 --- a reproducible lower bound on coverage, not the reachable set"
ignore_precomputed,configuration flag is set and the loader does not read it,precomputed_input,target_transforms,PASS,0,0,0.001874,"sharpen applied 1x per frame, as declared"
ignore_precomputed,configuration flag is set and the loader does not read it,precomputed_input,operator_trace,PASS,0,0,0.010678,9 distinct orders over 12 draws
prefix_window,sampling index is computed and then discarded; a fixed prefix is opened,temporal_window,precomputed_input,PASS,0,0,0.001914,loader returns the pre-computed input at the training-step-input boundary
prefix_window,sampling index is computed and then discarded; a fixed prefix is opened,temporal_window,temporal_window,FAIL,1,1,0.005847,"every one of the 8 entries returned the clip prefix [0, 1, 2, 3, 4]; the computed window does not reach the file system. Only 5/32 frames (15.6%) of the clip are reachable."
prefix_window,sampling index is computed and then discarded; a fixed prefix is opened,temporal_window,target_transforms,PASS,0,0,0.002078,"sharpen applied 1x per frame, as declared"
prefix_window,sampling index is computed and then discarded; a fixed prefix is opened,temporal_window,operator_trace,PASS,0,0,0.011418,10 distinct orders over 12 draws
frozen_window,window is sampled once and reused for every subsequent item,temporal_window,precomputed_input,PASS,0,0,0.001911,loader returns the pre-computed input at the training-step-input boundary
frozen_window,window is sampled once and reused for every subsequent item,temporal_window,temporal_window,FAIL,1,1,0.005623,"all 8 entries returned the same window [22, 23, 24, 25, 26]; the sampler is inert."
frozen_window,window is sampled once and reused for every subsequent item,temporal_window,target_transforms,PASS,0,0,0.002005,"sharpen applied 1x per frame, as declared"
frozen_window,window is sampled once and reused for every subsequent item,temporal_window,operator_trace,PASS,0,0,0.010503,10 distinct orders over 12 draws
